Lit_Terri;Cod_Terri;Total;Nom_Terri
07001 Alaró;07001;5617;Alaró
07003 Alcúdia;07003;20819;Alcúdia
07004 Algaida;07004;5793;Algaida
07005 Andratx;07005;11433;Andratx
07006 Artà;07006;7984;Artà
07007 Banyalbufar;07007;523;Banyalbufar
07008 Binissalem;07008;8756;Binissalem
07009 Búger;07009;1087;Búger
07010 Bunyola;07010;6895;Bunyola
07011 Calvià;07011;51710;Calvià
07012 Campanet;07012;2648;Campanet
07013 Campos;07013;11283;Campos
07014 Capdepera;07014;12158;Capdepera
07016 Consell;07016;4125;Consell
07017 Costitx;07017;1329;Costitx
07018 Deià;07018;630;Deià
07019 Escorca;07019;208;Escorca
07020 Esporles;07020;5113;Esporles
07021 Estellencs;07021;327;Estellencs
07022 Felanitx;07022;18202;Felanitx
07025 Fornalutx;07025;679;Fornalutx
07027 Inca;07027;33679;Inca
07028 Lloret de Vistalegre;07028;1437;Lloret de Vistalegre
07029 Lloseta;07029;6122;Lloseta
07030 Llubí;07030;2298;Llubí
07031 Llucmajor;07031;37752;Llucmajor
07033 Manacor;07033;44527;Manacor
07034 Mancor de la Vall;07034;1528;Mancor de la Vall
07035 Maria de la Salut;07035;2245;Maria de la Salut
07036 Marratxí;07036;37724;Marratxí
07038 Montuïri;07038;2987;Montuïri
07039 Muro;07039;7394;Muro
07041 Petra;07041;2942;Petra
07042 Pollença;07042;16658;Pollença
07043 Porreres;07043;5576;Porreres
07044 Pobla (Sa);07044;13764;Pobla (Sa)
07045 Puigpunyent;07045;2044;Puigpunyent
07047 Sencelles;07047;3370;Sencelles
07049 Sant Joan;07049;2145;Sant Joan
07051 Sant Llorenç des Cardassar;07051;8742;Sant Llorenç des Cardassar
07053 Santa Eugènia;07053;1641;Santa Eugènia
07055 Santa Margalida;07055;12797;Santa Margalida
07056 Santa Maria del Camí;07056;7486;Santa Maria del Camí
07057 Santanyí;07057;12373;Santanyí
07058 Selva;07058;4080;Selva
07059 Salines (Ses);07059;5096;Salines (Ses)
07060 Sineu;07060;4030;Sineu
07061 Sóller;07061;13634;Sóller
07062 Son Servera;07062;11817;Son Servera
07063 Valldemossa;07063;2009;Valldemossa
07065 Vilafranca de Bonany;07065;3466;Vilafranca de Bonany
07901 Ariany;07901;902;Ariany
01. Puig de Sant Pere;07040N01;489;Puig de Sant Pere
02. Jaume III;07040N02;2548;Jaume III
03. Llotja-Born;07040N03;1686;Llotja-Born
04. Sant Jaume;07040N04;1730;Sant Jaume
05. Sant Nicolau;07040N05;1497;Sant Nicolau
06. Cort;07040N06;1299;Cort
07. Seu (La);07040N07;593;Seu (La)
08. Monti-Sion;07040N08;1096;Monti-Sion
09. Calatrava (La);07040N09;845;Calatrava (La)
10. Sindicat (El);07040N10;4275;Sindicat (El)
11. Mercat (El);07040N11;2481;Mercat (El)
12. Missió (La);07040N12;1769;Missió (La)
13. Plaça dels Patins;07040N13;3854;Plaça dels Patins
14. Sant Agustí;07040N14;4310;Sant Agustí
15. Cala Major;07040N15;5106;Cala Major
16. Portopí;07040N16;2580;Portopí
17. Bonanova (La);07040N17;3058;Bonanova (La)
18. Gènova;07040N18;2051;Gènova
19. Terreno (El);07040N19;2848;Terreno (El)
20. Bellver;07040N20;2848;Bellver
21. Armadams (Son);07040N21;7446;Armadams (Son)
22. Teulera (La);07040N22;1733;Teulera (La)
23. Espanyolet (Son);07040N23;7197;Espanyolet (Son)
24. Dureta (Son);07040N24;2211;Dureta (Son)
25. Santa Catalina;07040N25;8484;Santa Catalina
26. Jonquet (El);07040N26;667;Jonquet (El)
27. Peretó (Son);07040N27;1698;Peretó (Son)
28. Flor (Son);07040N28;1378;Flor (Son)
29. Serra(Son)- La Vileta;07040N29;6171;Serra(Son)- La Vileta
30. Roca (Son);07040N30;2141;Roca (Son)
31. Ximelis (Son);07040N31;2366;Ximelis (Son)
32. Anglada (Son);07040N32;554;Anglada (Son)
33. Rapinya (Son);07040N33;4046;Rapinya (Son)
34. Almendros (Los)-Son Pacs;07040N34;2926;Almendros (Los)-Son Pacs
35. Xigala (Son);07040N35;4639;Xigala (Son)
36. Vida (Son);07040N36;604;Vida (Son)
37. Cotoner (Son);07040N37;12211;Cotoner (Son)
38. Dameto (Son);07040N38;7452;Dameto (Son)
39. Camp d'en Serralta;07040N39;12712;Camp d'en Serralta
40. Fortí (Es);07040N40;6919;Fortí (Es)
41. Secar de la Real;07040N41;4889;Secar de la Real
42. Establiments;07040N42;2995;Establiments
43. Espanyol(Son);07040N43;669;Espanyol(Son)
44. Sardina (Son);07040N44;2806;Sardina (Son)
45. Cas Capiscol;07040N45;8937;Cas Capiscol
46. Camp Redó;07040N46;14379;Camp Redó
47. Bons Aires;07040N47;19276;Bons Aires
48. Plaça de Toros;07040N48;15818;Plaça de Toros
49. Oliva (Son);07040N49;6245;Oliva (Son)
50. Amanecer;07040N50;526;Amanecer
51. Olivera (L');07040N51;3720;Olivera (L')
52. Indioteria (La), urbà;07040N52;3607;Indioteria (La), urbà
53. Indioteria (La), rural;07040N53;1602;Indioteria (La), rural
54. Arxiduc;07040N54;7017;Arxiduc
55. Marquès de la Fontsanta;07040N55;6648;Marquès de la Fontsanta
56. Rul.lan (Son);07040N56;1298;Rul.lan (Son)
57. Mare de Deu de Lluc;07040N57;1842;Mare de Deu de Lluc
58. Cladera (Son);07040N58;7569;Cladera (Son)
59. Viver (El);07040N59;6864;Viver (El)
60. Rafal Nou;07040N60;6922;Rafal Nou
61. Rafal Vell;07040N61;12226;Rafal Vell
62. Fortesa (Son), nord;07040N62;2227;Fortesa (Son), nord
63. Hostalets;07040N63;2525;Hostalets
64. Fortesa (Son), sud;07040N64;3887;Fortesa (Son), sud
65. Gotleu (Son);07040N65;10145;Gotleu (Son)
66. Can Capes;07040N66;1748;Can Capes
67. Canals (Son);07040N67;5971;Canals (Son)
68. Soledat (La), nord;07040N68;8582;Soledat (La), nord
69. Estadi Balear;07040N69;1005;Estadi Balear
70. Pere Garau;07040N70;28777;Pere Garau
71. Foners;07040N71;16602;Foners
72. Polígon de Llevant;07040N72;6483;Polígon de Llevant
73. Soledat (La), sud;07040N73;2428;Soledat (La), sud
74. Malferit (Son);07040N74;95;Malferit (Son)
75. Can Pere Antoni;07040N75;181;Can Pere Antoni
76. Molinar (El);07040N76;8518;Molinar (El)
77. Coll d'en Rabassa (El);07040N77;10897;Coll d'en Rabassa (El)
78. Riera (Son);07040N78;332;Riera (Son)
79. Can Pastilla;07040N79;5341;Can Pastilla
80. Aeroport;07040N80;116;Aeroport
81. Meravelles (Les);07040N81;4197;Meravelles (Les)
82. Arenal (L');07040N82;8213;Arenal (L')
83. Pil·larí (El);07040N83;2187;Pil·larí (El)
84. Ferriol (Son);07040N84;10117;Ferriol (Son)
85. Aranjassa (L´);07040N85;1111;Aranjassa (L´)
86. Sant Jordi;07040N86;3215;Sant Jordi
87. Casa Blanca (La);07040N87;1282;Casa Blanca (La)
88. Zona Portuaria;07040N88;32;Zona Portuaria
